,Edge_start,Edge_end,Capacity
477,258708o,78535i,10
478,65144i,65144o,10
479,42002o,42127i,10
480,69708o,69823i,10
481,37226o,36939i,10
482,55632o,55103i,10
483,19430o,46649i,10
484,67900i,67900o,10
485,57463i,57463o,10
486,71555i,71555o,10
487,80416o,80630i,10
488,29645o,16139i,10
489,73312o,73106i,10
490,71555o,71407i,10
491,18408o,18200i,10
492,27805o,27912i,10
493,68882i,68882o,10
494,22905i,22905o,10
495,66407o,65003i,10
496,18838o,19190i,10
497,47704o,47886i,10
498,78535i,78535o,10
499,33100o,33191i,10
500,59576o,59105i,10
501,39206o,38885i,10
502,50906o,51102i,10
503,261251o,82974i,10
504,55806o,54551i,10
505,851i,851o,10
506,8409o,8474i,10
507,42127i,42127o,10
508,7534o,7583i,10
509,4101o,4408i,10
510,34207o,47001i,10
511,16717i,16717o,10
512,59048o,53009i,10
513,26104o,28100i,10
514,29223i,29223o,10
515,32433i,32433o,10
516,265251o,78535i,10
517,70201i,70201o,10
518,25387i,25387o,10
519,48801o,48827i,10
520,20719o,19901i,10
521,65466o,65532i,10
522,30601o,30809i,10
523,15537i,15537o,10
524,14308o,260653i,10
525,21808o,20909i,10
526,44842i,44842o,10
527,4705o,4408i,10
528,56408i,56408o,10
529,46565o,46409i,10
530,179301i,179301o,10
531,8904o,8979i,10
532,13003o,25809i,10
533,34868o,34835i,10
534,32904o,32433i,10
535,15008o,14761i,10
536,79806o,80630i,10
537,1107o,2204i,10
538,19901i,19901o,10
539,14704o,14761i,10
540,7872o,21808i,10
541,55632o,55665i,10
542,50500i,50500o,10
543,65243i,65243o,10
544,16402o,14407i,10
545,39206o,38653i,10
546,1024i,1024o,10
547,36343o,37507i,10
548,48355o,48504i,10
549,22442o,21808i,10
550,45476i,45476o,10
551,64451o,64303i,10
552,80630o,80986i,10
553,33191i,33191o,10
554,55145o,55103i,10
555,60103o,54551i,10
556,78907o,80416i,10
557,14514o,18200i,10
558,30205o,44701i,10
559,49205o,48181i,10
560,28100i,28100o,10
561,18705o,32003i,10
562,1560o,1404i,10
563,76000o,75903i,10
564,60335i,60335o,10
565,273i,273o,10
566,46706o,264954i,10
567,62109i,62109o,10
568,39776o,39743i,10
569,62802o,69708i,10
570,39875o,233222i,10
571,7302o,7500i,10
572,78907i,78907o,10
573,36343o,38653i,10
574,19794o,19703i,10
575,83600i,83600o,10
576,9209o,9233i,10
577,82032o,82073i,10
578,15529o,15602i,10
579,18408i,18408o,10
580,29108o,29215i,10
581,22202o,22442i,10
582,3004o,14407i,10
583,81786o,81703i,10
584,51862o,51847i,10
585,79905o,80630i,10
586,12807o,12872i,10
587,65003i,65003o,10
588,24893i,24893o,10
589,36939o,37226i,10
590,16402o,3004i,10
591,26146i,26146o,10
592,53009i,53009o,10
593,27805o,42200i,10
