,Edge_start,Edge_end,Capacity
412,47605i,47605o,1
413,16717i,16717o,0
414,19489i,19489o,1
415,50609,50500,1
416,55632,55665,2
417,42606,43406,1
418,32524,32201,2
419,34207,33506,2
420,50906,50948,1
421,81265,81232,1
422,6098i,6098o,0
423,48504,33902,2
424,83725i,83725o,0
425,251575,40998,1
426,11809,12252,1
427,46458i,46458o,0
428,78535i,78535o,0
429,63552,48231,2
430,69823,73106,1
431,1024i,1024o,1
432,27300i,27300o,1
433,30809,30601,3
434,5256i,5256o,1
435,78907,79020,1
436,40832i,40832o,1
437,83535,83584,1
438,34207,34165,2
439,32201,32359,1
440,60608i,60608o,2
441,59691i,59691o,0
442,46458,46409,1
443,6098,6304,1
444,42200,27805,1
445,71407i,71407o,0
446,34603i,34603o,0
447,19844i,19844o,0
448,14407i,14407o,2
449,12252i,12252o,0
450,36103,34207,1
451,71407,62802,1
452,83261,84434,1
453,77503i,77503o,1
454,84301i,84301o,0
455,83501,83535,1
456,7872,8151,1
457,24638,24737,1
458,24430,279919,1
459,28472i,28472o,0
460,67066i,67066o,0
461,8151,10934,1
462,29215,14308,1
463,54403i,54403o,1
464,47704i,47704o,0
465,62653,47886,2
466,73502,73312,1
467,45906i,45906o,2
468,26708,26500,1
469,82669,81208,1
470,16188i,16188o,1
471,81679i,81679o,0
472,68700i,68700o,1
473,47258i,47258o,1
474,26708i,26708o,0
475,54528i,54528o,1
476,45245,45906,1
477,32003i,32003o,0
478,83584,83725,1
479,20909,21808,1
480,71860i,71860o,0
481,14514,18200,1
482,13334,851,2
483,18200i,18200o,0
484,47704,47886,2
485,33506,80416,1
486,2204i,2204o,2
487,27201i,27201o,0
488,5942i,5942o,2
489,80416,79467,2
490,78907i,78907o,1
491,32904i,32904o,0
492,179301i,179301o,0
493,19430,19489,1
494,13003i,13003o,1
495,63552i,63552o,1
496,21808i,21808o,1
497,48959i,48959o,1
498,81208,81232,1
499,16402i,16402o,1
500,30601,30205,2
501,33191i,33191o,0
502,19430i,19430o,1
503,34165i,34165o,0
504,46409i,46409o,1
505,7534i,7534o,1
506,21501,19703,2
507,16717,19844,2
508,55103,54551,1
509,80630,79657,1
510,262848,50500,1
511,24539i,24539o,0
512,69203,76000,1
513,12807,12872,1
514,19703,19794,1
515,33605i,33605o,1
516,42002i,42002o,1
517,79020i,79020o,0
518,27805i,27805o,1
519,37507i,37507o,1
520,44305i,44305o,1
521,50021i,50021o,0
522,77701i,77701o,1
523,20719i,20719o,0
524,79905,79657,2
525,69708i,69708o,1
526,69203i,69203o,0
527,81125,81604,1
528,80416,73312,1
529,262848,50104,2
530,2477,15008,1
531,34868i,34868o,1
532,30601,29645,2
533,62653i,62653o,1
534,81067,81125,1
535,83758i,83758o,0
536,75309,64808,1
537,64899,48959,1
538,75507i,75507o,1
539,36509,38653,1
540,75309,64899,1
541,24737i,24737o,0
542,22004i,22004o,0
543,19794,19901,1
544,83394i,83394o,0
545,73700,75903,1
546,45476i,45476o,0
547,39909,40832,1
548,18408i,18408o,2
549,79657i,79657o,0
550,33506,34165,1
551,32201i,32201o,1
552,4101,3905,1
553,37507,36343,1
554,24158i,24158o,0
555,29108,28969,1
556,45245i,45245o,0
557,67066,67009,1
558,21501i,21501o,0
559,83394,83501,1
560,58784,44420,1
561,851i,851o,0
562,19794i,19794o,0
563,179212i,179212o,0
564,46409,47258,1
565,32524i,32524o,0
566,12336,11809,1
567,74658i,74658o,1
568,179200i,179200o,0
569,75903i,75903o,1
570,71860,45682,1
571,179223i,179223o,0
572,39875i,39875o,0
573,4408i,4408o,2
574,44701i,44701o,1
575,64451i,64451o,0
576,60608,71407,1
577,53280i,53280o,0
578,82669i,82669o,1
579,47886i,47886o,0
580,39206i,39206o,0
581,42002,27805,1
582,3004i,3004o,1
583,279919i,279919o,0
584,1008i,1008o,0
585,68700,67900,1
586,29405i,29405o,1
587,2477i,2477o,0
588,39008i,39008o,0
589,50906i,50906o,0
590,30007i,30007o,0
591,33563i,33563o,0
592,21600i,21600o,1
593,10405i,10405o,0
594,58271,62109,1
595,84434i,84434o,0
596,12336i,12336o,0
597,60608,62109,2
598,5900i,5900o,2
599,40949i,40949o,0
600,28803i,28803o,0
601,39875,39008,1
602,24000,279919,1
603,32540,32524,1
604,69823i,69823o,0
605,38307i,38307o,0
606,12963,12807,1
607,36939i,36939o,0
608,79905i,79905o,1
609,20909i,20909o,0
610,260653i,260653o,0
611,46805i,46805o,0
612,46789,46805,1
613,13003,13334,1
614,38653,36343,2
