,Edge_start,Edge_end,Capacity
382,33191o,32201i,1
383,75507o,76000i,1
384,19844o,16717i,1
385,5900o,6098i,1
386,14308o,29215i,1
387,62802i,62802o,1
388,24737o,24638i,1
389,14407o,15537i,1
390,66050o,280397i,1
391,83394i,83394o,1
392,54205o,53009i,1
393,60608o,61705i,1
394,84301o,84434i,1
395,8086i,8086o,1
396,50948o,50906i,1
397,29405i,29405o,1
398,83501o,83394i,1
399,77107o,80416i,1
400,39743i,39743o,1
401,30205i,30205o,1
402,51847i,51847o,1
403,83022o,83220i,1
404,27912i,27912o,1
405,36459o,36707i,1
406,25205o,25353i,1
407,79657o,80416i,1
408,7872o,8086i,1
409,69203o,68205i,1
410,12872o,12807i,1
411,29215o,29108i,1
412,12963i,12963o,1
413,33472o,33506i,1
414,251561i,251561o,1
415,32201o,32359i,1
416,46409o,47258i,1
417,51862o,51847i,1
418,77107i,77107o,1
419,20743o,20719i,1
420,62653o,62802i,1
421,81703o,81067i,1
422,69823o,73106i,1
423,4705o,4952i,1
424,56606o,56903i,1
425,15354o,15529i,1
426,34835o,34868i,1
427,28472i,28472o,1
428,7112o,7872i,1
429,39875o,233222i,1
430,79806i,79806o,1
431,50906o,50948i,1
432,30601o,28472i,1
433,29405o,29181i,1
434,34868i,34868o,1
435,83220o,83022i,1
436,26104o,26708i,1
437,14043o,13003i,1
438,32201o,33100i,1
439,67009o,60608i,1
440,20503o,23101i,1
441,258708i,258708o,1
442,28969o,29108i,1
443,60269o,60103i,1
444,3905i,3905o,1
445,29405o,2204i,1
446,56606i,56606o,1
447,69708o,67009i,1
448,32904o,32201i,1
449,66589o,280397i,1
450,73502o,73312i,1
451,61200o,71555i,1
452,3905o,3004i,1
453,56424o,59808i,1
454,7872o,7112i,1
455,46581o,46565i,1
456,82099i,82099o,1
457,82446o,82487i,1
458,81786o,81703i,1
459,65532i,65532o,1
460,18838o,19190i,1
461,37507o,37911i,1
462,59048i,59048o,1
463,32201o,32524i,1
464,40949o,251575i,1
465,26211o,26146i,1
466,19703o,19794i,1
467,73700o,68205i,1
468,39743o,39776i,1
469,54817i,54817o,1
470,78345o,258708i,1
471,59576o,59675i,1
472,15602o,8904i,1
473,82578o,82552i,1
474,54403o,54528i,1
475,8961o,8995i,1
476,45906o,45245i,1
477,39909i,39909o,1
478,68700o,69708i,1
479,24158o,12252i,1
480,57307o,56523i,1
481,55665o,55632i,1
482,12609o,10405i,1
483,47001o,34207i,1
484,55665i,55665o,1
485,38653o,38885i,1
486,19489o,45245i,1
487,62802o,71860i,1
488,60103o,54403i,1
489,24539o,279919i,1
490,12609i,12609o,1
491,83410i,83410o,1
492,39875o,39008i,1
493,27805o,42200i,1
494,36939o,36459i,1
495,51805o,51946i,1
496,83535o,83584i,1
497,39909o,39404i,1
498,74583i,74583o,1
499,59808o,56424i,1
500,73312o,73502i,1
501,33506o,80416i,1
502,50666o,50484i,1
503,9209o,9233i,1
504,33605o,38653i,1
505,60335o,60400i,1
506,3509o,3467i,1
507,30601i,30601o,1
508,65094o,65029i,1
509,39776o,25387i,1
510,77503o,77701i,1
511,46581o,46649i,1
512,29215o,14308i,1
513,1008i,1008o,1
514,55103o,55632i,1
515,44305o,44420i,1
516,60103o,58651i,1
517,36459o,36939i,1
518,36103o,36509i,1
519,74633o,74583i,1
520,65243i,65243o,1
521,18408o,7112i,1
522,75424o,75309i,1
523,19430i,19430o,1
524,258468i,258468o,1
525,7112o,8409i,1
526,10934o,8151i,1
527,47258o,47704i,1
528,32433o,32201i,1
529,81679i,81679o,1
530,262848o,50104i,1
531,60269i,60269o,1
532,62653o,63073i,1
533,83261o,84400i,1
534,49809o,39321i,1
535,55632o,55665i,1
536,82974o,261251i,1
537,66449o,66589i,1
538,54817o,54908i,1
539,18200o,18408i,1
540,63552o,48231i,1
541,42200o,42127i,1
542,56408o,56424i,1
543,36343i,36343o,1
544,262848o,50500i,1
545,81265o,81232i,1
546,83394o,83501i,1
547,77107o,76000i,1
548,64451o,63552i,1
549,7872i,7872o,1
550,39776o,39743i,1
551,65466i,65466o,1
552,67900o,68700i,1
553,67009o,67462i,1
554,79467o,80416i,1
555,14761o,15008i,1
556,82032i,82032o,1
557,7872o,8151i,1
558,71407o,60608i,1
559,7500o,7112i,1
560,71407o,62802i,1
561,47886o,47704i,1
562,48009i,48009o,1
563,65904i,65904o,1
564,61705o,69708i,1
565,81067o,81703i,1
566,76000o,69203i,1
567,7500o,7302i,1
568,82974i,82974o,1
569,21808o,36939i,1
570,30122i,30122o,1
571,80630o,79905i,1
572,32540o,46805i,1
573,68700o,67009i,1
574,59105i,59105o,1
575,82404i,82404o,1
576,50021o,49809i,1
577,80416o,79657i,1
578,22202o,9456i,1
579,82032o,81901i,1
580,13417o,13003i,1
581,2204o,29405i,1
582,56523o,56408i,1
583,77834i,77834o,1
584,83410o,83394i,1
585,40832o,39909i,1
586,66050o,254539i,1
587,55632o,55103i,1
588,34603o,33506i,1
589,18374o,16717i,1
590,16188i,16188o,1
591,22442o,37226i,1
592,39206i,39206o,1
593,20909i,20909o,1
594,55665o,55806i,1
595,4705o,5256i,1
596,51847o,51862i,1
597,80986o,80630i,1
598,21808o,22004i,1
599,48231i,48231o,1
600,54551o,60103i,1
601,81232o,81208i,1
602,42127i,42127o,1
603,22905i,22905o,1
604,45906o,44008i,1
605,76000i,76000o,1
606,18838o,32003i,1
607,83220o,83105i,1
608,46458o,46409i,1
609,10603o,10827i,1
610,66142i,66142o,1
611,18374o,18408i,1
612,9233i,9233o,1
613,82669o,83022i,1
614,24000i,24000o,1
615,74658o,74583i,1
616,64808o,63073i,1
617,65904o,66050i,1
618,51177i,51177o,1
619,63073i,63073o,1
620,65300i,65300o,1
621,38307i,38307o,1
622,50021o,50104i,1
623,61341i,61341o,1
624,67900o,68403i,1
625,70201i,70201o,1
626,7872o,22905i,1
627,29645o,30601i,1
628,73502o,73908i,1
629,265251i,265251o,1
630,73106o,69823i,1
631,73106o,73312i,1
632,47605o,48827i,1
633,12963o,24893i,1
634,46649i,46649o,1
635,3905o,4408i,1
636,63552i,63552o,1
637,32607i,32607o,1
638,66142o,66134i,1
639,61200i,61200o,1
640,16139o,16188i,1
641,23101o,8086i,1
642,30601o,30205i,1
643,63073o,79467i,1
644,74633i,74633o,1
645,15354i,15354o,1
646,254539i,254539o,1
647,10827o,12369i,1
648,258467i,258467o,1
649,54528o,54551i,1
650,33506i,33506o,1
651,38653o,39206i,1
652,61572i,61572o,1
653,73312o,68205i,1
654,73312o,73106i,1
655,27201o,30601i,1
656,5108i,5108o,1
657,279919o,24539i,1
658,7112o,7500i,1
659,33902o,48504i,1
660,7302i,7302o,1
661,12336i,12336o,1
662,179301o,84400i,1
663,10603o,9209i,1
664,40808o,40832i,1
665,5108o,4705i,1
666,61572o,71407i,1
667,26104o,26161i,1
668,83261i,83261o,1
669,32201o,32433i,1
670,75309o,64899i,1
671,22905o,7872i,1
672,29108o,29405i,1
673,62802o,75424i,1
674,33902o,33563i,1
675,9456o,9233i,1
676,3467o,3517i,1
677,75903o,73700i,1
678,78535i,78535o,1
679,75903o,76000i,1
680,37226o,22442i,1
681,16402o,3004i,1
682,75424i,75424o,1
683,56606o,56697i,1
684,82446o,82404i,1
685,3467o,3509i,1
686,71407i,71407o,1
687,66134o,66142i,1
688,81604o,81679i,1
689,3509o,3632i,1
690,13904o,260653i,1
691,83246o,83220i,1
692,30205o,30601i,1
693,19794i,19794o,1
694,66050o,65904i,1
695,17202o,18408i,1
696,3004o,3905i,1
697,42606o,44305i,1
698,12807o,12872i,1
699,54403o,60103i,1
700,3517o,3467i,1
701,60608o,61903i,1
702,40832i,40832o,1
703,12963o,12807i,1
704,46706o,264954i,1
705,46565o,251555i,1
706,82099o,82073i,1
707,32201o,33506i,1
708,15602o,15529i,1
709,4705o,4408i,1
710,24893i,24893o,1
711,42606o,30601i,1
712,69708o,61705i,1
713,36103o,22442i,1
714,33506o,64899i,1
715,62802o,33506i,1
716,73312o,74658i,1
717,68403o,67900i,1
718,254539o,51177i,1
719,32201o,21600i,1
720,273o,1107i,1
721,68205o,69203i,1
722,46649o,19430i,1
723,51508o,65243i,1
724,64303i,64303o,1
725,26708o,26500i,1
726,77701i,77701o,1
727,15537o,15354i,1
728,15529o,15602i,1
729,30601o,29645i,1
730,39206o,38885i,1
731,47704i,47704o,1
732,36459o,36509i,1
733,75507o,179221i,1
734,32003o,18838i,1
735,83725o,83600i,1
736,4952i,4952o,1
737,58651o,59105i,1
738,69708o,68700i,1
739,29181i,29181o,1
740,19489i,19489o,1
741,25809o,27805i,1
742,19430o,19489i,1
743,65003i,65003o,1
744,14761i,14761o,1
745,33100o,33191i,1
746,64451i,64451o,1
747,251575o,40998i,1
748,47829i,47829o,1
749,45401o,61341i,1
750,56424i,56424o,1
751,54908o,57703i,1
752,82974o,65532i,1
753,45617o,45401i,1
754,68700o,68882i,1
755,7112i,7112o,1
756,48181o,48033i,1
757,37911i,37911o,1
758,77503o,73908i,1
759,77834o,77107i,1
760,260653o,13904i,1
761,42606o,43406i,1
762,50807i,50807o,1
763,45476o,45906i,1
764,17202o,8474i,1
765,42002i,42002o,1
766,32201o,19174i,1
767,81679o,81901i,1
768,19430o,46649i,1
769,4408o,5108i,1
770,50500o,50484i,1
771,50609o,40030i,1
772,33100i,33100o,1
773,50666o,50807i,1
774,50666o,51177i,1
775,30122o,30007i,1
776,8409i,8409o,1
777,63552o,64808i,1
778,59048o,53009i,1
779,58784o,44420i,1
780,50609o,50500i,1
781,73908i,73908o,1
782,65243o,51508i,1
783,37911o,38307i,1
784,3632o,3509i,1
785,22442o,38653i,1
786,8904o,15602i,1
787,75309o,74658i,1
788,4135o,4408i,1
789,82487o,82446i,1
790,81901i,81901o,1
791,273o,851i,1
792,48959o,64899i,1
793,55103o,55145i,1
794,1107o,2204i,1
795,4408o,4705i,1
796,7302o,7500i,1
797,20743o,20909i,1
798,280397o,66050i,1
799,280397i,280397o,1
800,1107o,1404i,1
801,46565o,251561i,1
802,73908o,73312i,1
803,40030o,50609i,1
804,21600o,21501i,1
805,56424o,56408i,1
806,75309o,36103i,1
807,36343o,38653i,1
808,4705i,4705o,1
809,254539o,66050i,1
810,66050i,66050o,1
811,30601o,30809i,1
812,56697o,56713i,1
813,53009i,53009o,1
814,38653o,7500i,1
815,48181i,48181o,1
