,Edge,Capacity
241,"('Gliwice', 'Kędzierzyn Koźle')",1
242,"('Swarzędz', 'Poznań Główny')",1
243,"('Nowy Targ', 'Kraków Główny')",1
244,"('Augustów', 'Suwałki')",1
245,"('Ząbkowice Śląskie', 'Dzierżoniów Śląski')",1
246,"('Lublin Główny', 'Kraśnik')",1
247,"('Grybów', 'Nowy Sącz')",1
248,"('Małaszewicze Przystanek', 'Chotyłów')",1
249,"('Smętowo', 'Tczew')",1
250,"('Dzierżoniów Śląski', 'Świdnica Miasto')",1
251,"('Skarżysko Kościelne', 'Radom Główny')",1
252,"('Biłgoraj', 'Tereszpol Biłgorajski')",1
253,"('Starachowice Wschodnie', 'Skarżysko Kościelne')",1
254,"('Olsztyn Zachodni', 'Morąg')",1
255,"('Warszawa Gdańska', 'Otwock')",1
256,"('Jarosław', 'Radymno')",1
257,"('Czechowice-Dziedzice', 'Żory')",1
258,"('Zarszyn', 'Wróblik Szlachecki')",1
259,"('Nowy Dwór Mazowiecki', 'Nasielsk')",1
260,"('Jahodyn', 'Chełm')",1
261,"('Jasło', 'Jedlicze')",1
262,"('Zgorzelec Miasto', 'Zgorzelec')",1
263,"('Opoczno Południe', 'Grodzisk Mazowiecki')",1
264,"('Chełm Miasto', 'Chełm')",1
265,"('Poznań Główny', 'Zbąszynek')",1
266,"('Trawniki', 'Świdnik Miasto')",1
267,"('Rzeszów Główny', 'Łańcut')",1
268,"('Radom Gołębiów', 'Radom Główny')",1
269,"('Gliwice', 'Pyskowice')",1
270,"('Jedlicze', 'Krosno')",1
271,"('Sokółka', 'Dąbrowa Białostocka')",1
272,"('Szczebrzeszyn', 'Zwierzyniec')",1
273,"('Radom Główny', 'Warka')",1
274,"('Warszawa Gdańska', 'Warszawa Młynów')",1
275,"('Opoczno Południe', 'Warszawa Zachodnia')",1
276,"('Zabrze', 'Gliwice')",1
277,"('Warszawa Zachodnia', 'Opoczno Południe')",1
278,"('Chojna', 'Gryfino')",1
279,"('Rzeszów Zachodni', 'Kolbuszowa')",1
280,"('Kraśnik', 'Lublin Główny')",1
281,"('Solec Kujawski', 'Bydgoszcz Wschód')",1
282,"('Gorzkowice', 'Radomsko')",1
283,"('Janowice Wielkie', 'Jelenia Góra')",1
284,"('Opoczno Południe', 'Warszawa Gdańska')",1
285,"('Gdańsk Oliwa', 'Sopot')",1
286,"('Przemyśl Zasanie', 'Jarosław')",1
287,"('Łódź Widzew', 'Koluszki')",1
288,"('Łęczyca', 'Ozorków')",1
289,"('Szepietowo', 'Łapy')",1
290,"('Warka', 'Piaseczno')",1
291,"('Warszawa Gdańska', 'Warszawa Wschodnia')",1
292,"('Kraków Główny', 'Kraków Płaszów')",1
293,"('Koniecpol', 'Miechów')",1
294,"('Warszawa Gdańska', 'Żyrardów')",1
295,"('Chrzanów Śródmieście', 'Oświęcim')",1
296,"('Trakiszki', 'Mockava')",1
297,"('Oleśnica Rataje', 'Wrocław Nadodrze')",1
298,"('Otmuchów', 'Paczków')",1
299,"('Dąbrowa Białostocka', 'Augustów')",1
300,"('Lubliniec', 'Olesno Śląskie')",1
301,"('Siemiatycze', 'Sarnaki')",1
302,"('Kalisz', 'Ostrów Wielkopolski')",1
303,"('Stalowa Wola Centrum', 'Nisko')",1
304,"('Kraków Główny', 'Warszawa Zachodnia')",1
305,"('Zwierzyniec', 'Tereszpol Biłgorajski')",1
306,"('Strzelce Opolskie', 'Opole Główne')",1
307,"('Biała Piska', 'Pisz')",1
308,"('Łódź\xa0Żabiniec', 'Zgierz')",1
309,"('Hajnówka', 'Bielsk Podlaski')",1
310,"('Kraśnik', 'Zaklików')",1
311,"('Żyrardów', 'Grodzisk Mazowiecki')",1
312,"('Warszawa Młynów', 'Warszawa Gdańska')",1
313,"('Niemojki', 'Siedlce')",1
314,"('Nidzica', 'Olsztynek')",1
315,"('Białystok', 'Białystok Zielone Wzgórza')",1
316,"('Bobowa Miasto', 'Stróże')",1
317,"('Gdańsk Wrzeszcz', 'Gdańsk Oliwa')",1
318,"('Łódź Widzew', 'Łódź Fabryczna')",1
319,"('Warszawa Służewiec', 'Piaseczno')",1
320,"('Łowicz Główny', 'Kutno')",1
321,"('Warszawa Gdańska', 'Legionowo')",1
322,"('Kraków Główny', 'Krzeszowice')",1
323,"('Dęblin', 'Pilawa')",1
324,"('Puławy Miasto', 'Dęblin')",1
325,"('Sędziszów', 'Jędrzejów')",1
326,"('Żyrardów', 'Warszawa Zachodnia')",1
327,"('Mostiska II', 'Przemyśl Główny')",1
328,"('Dąbrowa Górnicza', 'Sosnowiec Główny')",1
329,"('Augustów', 'Dąbrowa Białostocka')",1
330,"('Tomaszów Mazowiecki', 'Koluszki')",1
331,"('Świebodzice', 'Wałbrzych Miasto')",1
332,"('Żyrardów', 'Warszawa Gdańska')",1
333,"('Osowiec', 'Grajewo')",1
334,"('Płock', 'Gostynin')",1
335,"('Kępno', 'Ostrzeszów')",1
336,"('Brzeg', 'Wrocław Główny')",1
337,"('Opalenica', 'Nowy Tomyśl')",1
338,"('Leżajsk', 'Nowa Sarzyna')",1
339,"('Wołomin', 'Warszawa Wschodnia')",1
340,"('Łask', 'Zduńska Wola')",1
341,"('Łapy', 'Szepietowo')",1
342,"('Nowy Targ', 'Poronin')",1
343,"('Bydgoszcz Wschód', 'Bydgoszcz Leśna')",1
344,"('Skarżysko Kamienna', 'Radom Główny')",1
345,"('Zbąszynek', 'Babimost')",1
346,"('Kędzierzyn Koźle', 'Opole Główne')",1
347,"('Bielsk Podlaski', 'Hajnówka')",1
348,"('Werbkowice', 'Zamość Wschód')",1
349,"('Kędzierzyn Koźle', 'Kuźnia Raciborska')",1
350,"('Przeworsk', 'Łańcut')",1
351,"('Świdnica Miasto', 'Jaworzyna Śląska')",1
352,"('Chociwel', 'Stargard')",1
353,"('Koluszki', 'Piotrków Trybunalski')",1
354,"('Sopot', 'Gdynia Główna')",1
355,"('Grodzisk Mazowiecki', 'Opoczno Południe')",1
356,"('Stargard', 'Szczecin Dąbie')",1
357,"('Zbąszynek', 'Świebodzin')",1
358,"('Zwierzyniec', 'Szczebrzeszyn')",1
359,"('Legnica', 'Lubin')",1
360,"('Żory', 'Rybnik')",1
361,"('Koluszki', 'Skierniewice')",1
362,"('Radom Główny', 'Radom Gołębiów')",1
363,"('Przemyśl Główny', 'Jarosław')",1
364,"('Goleniów', 'Wysoka Kamieńska')",1
365,"('Kraków Główny', 'Oświęcim')",1
366,"('Tarnobrzeg', 'Stalowa Wola Charzewice')",1
367,"('Pyskowice', 'Strzelce Opolskie')",1
368,"('Grodzisk Mazowiecki', 'Warszawa Zachodnia')",1
369,"('Nowy Sącz', 'Grybów')",1
370,"('Mława', 'Działdowo')",1
371,"('Wyrzysk Osiek', 'Piła Główna')",1
372,"('Świdnik Miasto', 'Lublin Główny')",1
373,"('Rzeszów Główny', 'Dębica')",1
374,"('Radymno', 'Jarosław')",1
375,"('Szczytno', 'Olsztyn Główny')",1
376,"('Słupca', 'Września')",1
377,"('Opole Główne', 'Brzeg')",1
378,"('Sokółka', 'Białystok')",1
379,"('Piaseczno', 'Warszawa Służewiec')",1
380,"('Wrocław Główny', 'Legnica')",1
381,"('Czeremcha', 'Nurzec')",1
382,"('Babiak', 'Piotrków Kujawski')",1
383,"('Żmigród', 'Rawicz')",1
384,"('Żary', 'Nowogród Osiedle')",1
385,"('Elbląg', 'Malbork')",1
386,"('Mogilno', 'Gniezno')",1
387,"('Katowice', 'Zabrze')",1
388,"('Tuczno Krajeńskie', 'Kalisz Pomorski')",1
389,"('Poznań Główny', 'Szamotuły')",1
390,"('Tczew', 'Pruszcz Gdański')",1
391,"('Warszawa Zachodnia', 'Kutno')",1
392,"('Pilawa', 'Otwock')",1
393,"('Środa Śląska', 'Legnica')",1
394,"('Chełm Miasto', 'Rejowiec')",1
395,"('Żyrardów', 'Skierniewice')",1
396,"('Działdowo', 'Iława Główna')",1
397,"('Zawada', 'Zamość')",1
398,"('Iława Główna', 'Prabuty')",1
399,"('Radzyń Podlaski', 'Łuków')",1
400,"('Łochów', 'Małkinia')",1
401,"('Rokitki', 'Małomice')",1
402,"('Kraków Główny', 'Katowice')",1
403,"('Wąbrzeźno', 'Kowalewo Pomorskie')",1
404,"('Trzebinia', 'Chrzanów Śródmieście')",1
405,"('Nowa Ruda', 'Jedlina-Zdrój')",1
406,"('Muszyna', 'Muszyna Zdrój')",1
407,"('Warszawa Centralna', 'Warszawa Wschodnia')",1
408,"('Warszawa Wschodnia', 'Iława Główna')",1
409,"('Kraków Główny', 'Miechów')",1
410,"('Warszawa Wschodnia', 'Pilawa')",1
411,"('Warszawa Zachodnia', 'Włoszczowa Północ')",1
412,"('Warszawa Zachodnia', 'Żyrardów')",1
413,"('Szczecin Główny', 'Szczecin Dąbie')",1
414,"('Chabówka Stadion', 'Maków Podhalański')",1
415,"('Aleksandrów Kujawski', 'Toruń Główny')",1
416,"('Dobiegniew', 'Choszczno')",1
417,"('Przeworsk', 'Leżajsk')",1
418,"('Sieradz', 'Kalisz')",1
419,"('Wróblik Szlachecki', 'Krosno Miasto')",1
420,"('Mońki', 'Osowiec')",1
421,"('Głogów', 'Bytom Odrzański')",1
422,"('Wysoka Kamieńska', 'Międzyzdroje')",1
423,"('Lublin Główny', 'Świdnik Miasto')",1
