stop_id,stop_name,stop_lat,stop_lon,stop_IBNR
59576i,Oleśnica Rataje_i,51.21584759927,17.36443823223,6311.0
44842i,Pleszew_i,51.89250513527,17.73247445481,155.0
51177i,Krasnystaw Miasto_i,50.98511134643,23.18297937705,2120.0
47258i,Koluszki_i,51.74339815459,19.81837887943,76.0
82099i,Piwniczna Zdrój_i,49.44071314858,20.71738364403,3216.0
81703i,Gorlice Zagórzany_i,49.69416026267,21.19548618257,3079.0
51805i,Węgliniec_i,51.29011852119,15.22298410229,235.0
82073i,Rytro_i,49.4865413333,20.68026774404,3256.0
73502i,Mysłowice_i,50.23809360671,19.14153662356,4222.0
12369i,Pisz_i,53.63182419077,21.79292007566,436.0
32433i,Żychlin_i,52.21311918462,19.61909293056,1564.0
21204i,Brodnica_i,53.26365677302,19.40584122598,5052.0
65029i,Stalowa Wola Centrum_i,50.57066449887,22.05472239413,2227.0
45245i,Kalisz_i,51.74278329437,18.07118445486,65.0
82487i,Krynica Zdrój_i,49.40965968433,20.95715117422,89.0
14704i,Wałcz_i,53.27510473715,16.48431759469,8423.0
18408i,Bydgoszcz Główna_i,53.13528294461,17.99163586184,14.0
39974i,Radzyń Podlaski_i,51.82712515124,22.66861437678,1385.0
48959i,Opoczno Południe_i,51.35914690831,20.23239611506,
76901i,Goleszów_i,49.74686280831,18.74919354379,
233222i,Siedlce Zachodnie_i,52.17351388703,22.2355422324,202.0
67462i,Głogówek_i,50.34760123367,17.87576932675,6117.0
84301i,Radymno_i,49.93949300812,22.8290715277,3245.0
54205i,Rokitki_i,51.33566591902,15.89315055728,6389.0
51102i,Dorohusk_i,51.17210046763,23.78424703807,706.0
77057i,Ustroń Polana_i,49.69672804322,18.83002727956,
78535i,Maków Podhalański_i,49.72682861133,19.6776473884,3166.0
68205i,Rybnik_i,50.08906167788,18.54784547746,175.0
46706i,Łódź Kaliska_i,51.75786647986,19.42983100106,113.0
41202i,Żagań_i,51.60411323724,15.31502653134,269.0
39404i,Siedlce_i,52.16181364664,22.27167427003,182.0
27300i,Sulechów_i,52.09276931251,15.61872001401,196.0
56408i,Kamieniec Ząbkowicki_i,50.53616772711,16.89894453563,67.0
45401i,Kępno_i,51.29197634618,18.00140641668,903.0
7112i,Tczew_i,54.09745621809,18.78960368872,221.0
34165i,Grodzisk Mazowiecki_i,52.11021993141,20.62252647354,1149.0
82552i,Żegiestów Zdrój_i,49.36274740922,20.80383286586,271.0
251561i,Łódź Dąbrowa_i,51.73592584622,19.51061381349,6498.0
15529i,Lipka Krajeńska_i,53.49734059016,17.25740911939,8201.0
39321i,Sobolew_i,51.74134575258,21.673084459,1422.0
46649i,Łask_i,51.60372042378,19.11212892399,1248.0
62802i,Częstochowa Stradom_i,50.7972075927,19.10762895397,4085.0
79657i,Bochnia_i,49.9773503436,20.43153122078,9.0
78980i,Poronin_i,49.34315915598,20.00358871285,3225.0
24133i,Mońki_i,53.40236162335,22.79687370076,1287.0
83022i,Łańcut_i,50.08174555422,22.22795258547,107.0
1024i,Międzyzdroje_i,53.92428980699,14.45527677392,124.0
65243i,Zaklików_i,50.76843285504,22.10793206546,2300.0
15602i,Chojnice_i,53.68889583547,17.57791578233,18.0
55103i,Wałbrzych Główny_i,50.74332995856,16.28095583203,241.0
77701i,Krzeszowice_i,50.13093009818,19.63411147213,3145.0
14761i,Tuczno Krajeńskie_i,53.21895710594,16.17519857003,8414.0
60335i,Wołów_i,51.33371086352,16.63311674999,247.0
65003i,Stalowa Wola Rozwadów_i,50.59132724573,22.04195261785,193.0
48181i,Starachowice Wschodnie_i,51.04173127118,21.07907576336,2230.0
7872i,Malbork_i,54.03621384954,19.04257891417,117.0
60400i,Ścinawa_i,51.4091782138,16.42173497635,210.0
81265i,Sędziszów Małopolski_i,50.07552395105,21.69121041341,3266.0
12609i,Giżycko_i,54.03136915601,21.77804811001,42.0
61341i,Byczyna Kluczborska_i,51.11371109591,18.1998799207,6067.0
42002i,Nowa Sól_i,51.79912167571,15.70874382983,133.0
28472i,Swarzędz_i,52.40418947752,17.0736819452,521.0
56523i,Bardo Śląskie_i,50.50484068595,16.73409309296,6022.0
36343i,Wołomin_i,52.34664299751,21.23811721265,1529.0
74658i,Sosnowiec Główny_i,50.27889039075,19.12631094158,191.0
69203i,Żory_i,50.05308148321,18.70202421069,719.0
44305i,Rawicz_i,51.60877741913,16.83979934136,171.0
65466i,Tarnobrzeg_i,50.56800523269,21.69629665688,2263.0
58651i,Wrocław Mikołajów_i,51.11642853085,16.99842626911,6514.0
37911i,Łochów_i,52.53397373547,21.68755579762,1255.0
8409i,Pelplin_i,53.9272631663,18.70796312623,5468.0
39206i,Pilawa_i,51.95562237451,21.53356362698,150.0
77503i,Trzebinia_i,50.15412725631,19.45263331513,228.0
32201i,Kutno_i,52.22701929483,19.34870615211,94.0
30205i,Środa Wielkopolska_i,52.21817178112,17.27455870753,212.0
71407i,Lubliniec_i,50.67289146587,18.69052512305,104.0
12807i,Suwałki_i,54.10586069177,22.94531372953,197.0
83410i,Jasło_i,49.73760818105,21.47056255334,58.0
57463i,Kłodzko Miasto_i,50.43543140434,16.65855831741,6191.0
40030i,Parczew_i,51.62622126255,22.87159169588,1337.0
34868i,Warszawa Zachodnia (Peron 9)_i,52.22223604539,20.96142072884,1508.0
50021i,Puławy Miasto_i,51.42721669507,21.98475355656,166.0
82446i,Muszyna Zdrój_i,49.3579786409,20.89654897887,3188.0
82974i,Kolbuszowa_i,50.24608371071,21.78448994467,3118.0
56143i,Piechowice_i,50.85170662987,15.59147073651,6339.0
50666i,Trawniki_i,51.13598108505,22.99342727878,2268.0
15008i,Kalisz Pomorski_i,53.27774129392,15.88089584789,66.0
56168i,Szklarska Poręba Dolna_i,50.8483479237,15.55694243247,6450.0
56606i,Nysa_i,50.47777011314,17.34184774757,136.0
62109i,Brzeg_i,50.85283242929,17.47135932797,11.0
58784i,Oborniki Śląskie_i,51.29940096999,16.90740536845,6305.0
273i,Szczecin Główny_i,53.41848158335,14.54975301866,201.0
78907i,Nowy Targ_i,49.47311287611,20.01558943355,135.0
49809i,Dęblin_i,51.57813499126,21.83432672884,32.0
9233i,Olsztyn Zachodni_i,53.77834031204,20.46785566044,5442.0
39875i,Mrozy_i,52.16419810829,21.80148861111,1293.0
62653i,Częstochowa_i,50.80863803089,19.12097955749,26.0
39909i,Łuków_i,51.9410027565,22.39151672618,115.0
7534i,Gdańsk Wrzeszcz_i,54.381951326,18.60508491696,5162.0
20909i,Jabłonowo Pomorskie_i,53.39343883028,19.16297520632,55.0
